date,site_code,transect_id,transect_waypoint_name,GPS_device,transect_lat_dd,transect_lon_dd,time,position,water_level_cm,depth_cm,binomial_code,length_cm,circum_cm,field_observer,notes
2021_06_23,laho_a,2,"""028""",GPS1,,,NA,0,-18,1,-9999,-9999,-9999,LG,missing data for time and water level so -18 was added as the most likely level given that the subsequent measurements were -18 but the depth measurement does not seem possible
2021_06_23,laho_a,2,"""028""",GPS1,,,NA,1,-18,NA,-9999,-9999,-9999,LG,missing data for time and water level so -18 was added as the most likely level given that the subsequent measurements were -18
2021_06_23,laho_a,2,"""028""",GPS1,,,11h35,2,-18,NA,fu_sp,15,6,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h35,2,-18,NA,fu_sp,15,7,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h35,2,-18,NA,fu_sp,17,6,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h37,3,-18,NA,fu_sp,19,3,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h37,3,-18,NA,fu_sp,17,2,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h37,3,-18,NA,fu_sp,39,5,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h37,3,-18,NA,fu_sp,30,4,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h37,3,-18,NA,fu_sp,22,5,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h37,3,-18,NA,fu_sp,42,8,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h44,4,-17,NA,fu_sp,17,5,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h44,4,-17,NA,fu_sp,34,4,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h44,4,-17,NA,fu_sp,15,3,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h44,4,-17,NA,fu_sp,11,3,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h44,4,-17,NA,fu_sp,7,3,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h46,5,-16,14,fu_sp,15,3,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h46,5,-16,14,fu_sp,39,7,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h49,6,-16,NA,fu_sp,25,2,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h49,6,-16,NA,fu_sp,19,3,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h49,6,-16,NA,fu_sp,20,4,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h52,7,-16,NA,NA,NA,NA,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h52,8,-16,NA,fu_ve,18,3,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h52,8,-16,NA,fu_ve,30,6,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h52,8,-16,NA,fu_ve,14,3,LG,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h55,9,-16,NA,fu_ve,22,4,BB,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h55,9,-16,NA,fu_ve,11,2,BB,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h57,10,-17,3.5,NA,NA,NA,BB,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h57,11,-17,NA,NA,NA,NA,BB,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h58,12,-17,NA,NA,NA,NA,BB,
2021_06_23,laho_a,2,"""028""",GPS1,,,11h59,13,-17,NA,NA,NA,NA,BB,
2021_06_23,laho_a,2,"""028""",GPS1,,,12h00,14,-17,NA,NA,NA,NA,BB,
2021_06_23,laho_a,2,"""028""",GPS1,,,12h00,15,-17,-16,fu_se,11,2,BB,
2021_06_23,laho_a,2,"""028""",GPS1,,,12h01,16,-17,NA,NA,NA,NA,BB,
2021_06_23,laho_a,2,"""028""",GPS1,,,12h02,17,-17,NA,fu_se,21,4,BB,
2021_06_23,laho_a,2,"""028""",GPS1,,,12h03,18,-16,-24,,-9999,NA,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h00,0,-11,2,-9999,-9999,-9999,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h00,1,-11,NA,-9999,-9999,-9999,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h00,2,-11,NA,-9999,-9999,-9999,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h01,3,-10,NA,fu_sp,11,3,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h01,3,-10,NA,fu_sp,10,2,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h01,3,-10,NA,fu_sp,31,6,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h01,3,-10,NA,fu_sp,31,3,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h01,3,-10,NA,fu_sp,30,5,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h01,3,-10,NA,fu_sp,14,3,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h01,3,-10,NA,fu_sp,29,6,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h07,4,-10,NA,fu_sp,24,4,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h07,4,-10,NA,fu_sp,17,3,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h09,5,-10,3,fu_sp,20,4,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h09,5,-10,3,fu_sp,17,3,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h09,5,-10,3,fu_sp,16,4,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h09,5,-10,3,fu_sp,16,2,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h09,5,-10,3,fu_sp,37,5,LG,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h13,6,-10,NA,fu_sp,22,4,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h13,6,-10,NA,fu_sp,46,3,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h13,6,-10,NA,fu_sp,16,1,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h13,6,-10,NA,fu_sp,21,5,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h17,7,-10,NA,fu_ve,56,9,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h17,7,-10,NA,fu_ve,28,0.75,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h17,7,-10,NA,fu_ve,17,0.75,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h18,8,-9,NA,fu_ve,28,4,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h18,8,-9,NA,fu_ve,29,4,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h18,8,-9,NA,fu_ve,42,4,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h18,8,-9,NA,fu_ve,30,3,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h18,8,-9,NA,fu_ve,25,3,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h21,9,-9,NA,fu_ve,67,5,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h21,9,-9,NA,fu_ve,29,3,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h21,9,-9,NA,fu_ve,52,6,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h21,9,-9,NA,fu_ve,60,9,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h21,9,-9,NA,fu_ve,66,7,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h21,9,-9,NA,fu_ve,22,0.75,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h21,9,-9,NA,fu_ve,33,5,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h27,10,-8,-13,fu_ve,61,3,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h30,11,-8,NA,-9999,-9999,-9999,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h30,12,-8,NA,-9999,-9999,-9999,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h31,13,-8,NA,fu_ve,88,17,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h32,14,-8,NA,-9999,-9999,-9999,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h32,15,-8,-29,fu_se,14,3,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h32,15,-8,-29,fu_se,10,1,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h32,15,-8,-29,fu_se,15,3,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h34,16,-8,NA,-9999,-9999,-9999,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h35,17,-8,NA,fu_se,48,9,BB,
2021_06_23,laho_a,3,"""029""",GPS1,,,13h36,18,-8,-43,-9999,-9999,-9999,BB,originally entered incorrectly as 43 but was corrected
2021_06_23,laho_a,4,"""030""",GPS1,,,13h48,0,-7,3,fu_sp,NA,NA,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h49,1,-6,NA,fu_sp,12,2,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h50,2,-6,NA,fu_sp,22,6,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h50,2,-6,NA,fu_sp,10,0.75,LG,sad
2021_06_23,laho_a,4,"""030""",GPS1,,,13h50,2,-6,NA,fu_sp,15,3,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h53,3,-6,NA,fu_sp,22,7,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h53,3,-6,NA,fu_sp,48,4,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h53,3,-6,NA,fu_sp,17,3,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h53,3,-6,NA,fu_sp,31,8,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h53,3,-6,NA,fu_sp,18,3,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h57,4,-6,NA,fu_sp,30,5,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h57,4,-6,NA,fu_sp,30,3,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h57,4,-6,NA,fu_sp,15,3,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h59,5,-6,-6,fu_sp,27,3,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,13h59,5,-6,-6,fu_sp,41,11,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h01,6,-6,NA,fu_sp,36,2,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h01,6,-6,NA,NA,NA,NA,LG,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h02,7,-6,NA,fu_ve,46,0.75,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h03,8,-6,NA,as_no,34,5,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h03,9,-6,NA,as_no,36,7,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h05,10,-5,-19,fu_ve,67,5.5,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h05,10,-5,-19,as_no,69,7,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h07,11,-5,NA,NA,NA,NA,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h09,12,-5,NA,fu_ve,89,10,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h09,13,-5,NA,fu_ve,59,9,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h09,13,-5,NA,NA,NA,NA,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h11,14,-5,NA,NA,NA,NA,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h12,15,-5,-32,fu_se,68,10,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h12,16,-5,NA,fu_se,105,22,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h14,17,-4,NA,fu_se,84,16,BB,
2021_06_23,laho_a,4,"""030""",GPS1,,,14h18,18,-4,-42,fu_se,88,13,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h33,0,-3,4,-9999,-9999,-9999,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h33,1,NA,NA,-9999,-9999,-9999,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h33,2,NA,NA,-9999,-9999,-9999,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h35,3,NA,NA,fu_sp,13,3,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h37,4,NA,NA,fu_sp,14,4,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h37,4,NA,NA,fu_sp,20,2,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h37,4,NA,NA,fu_sp,22,5,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h37,4,NA,NA,fu_sp,13,3,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h37,4,NA,NA,fu_sp,15,3,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h37,4,NA,NA,fu_sp,14,2,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h42,5,-3,-4,fu_sp,20,4,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h42,5,-3,-4,fu_sp,11,4,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h42,5,-3,-4,fu_sp,11,3,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h42,5,-3,-4,fu_sp,22,7,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h42,5,-3,-4,fu_sp,21,8,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h48,6,NA,NA,fu_sp,19,4,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h49,7,NA,NA,fu_sp,32,7,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h49,7,NA,NA,fu_sp,19,5,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h49,7,NA,NA,fu_sp,32,8,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h49,7,NA,NA,fu_sp,21,1,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h53,8,NA,NA,fu_sp,20,3,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h53,8,NA,NA,fu_sp,33,10,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,NA,9,NA,NA,-9999,-9999,-9999,LG,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h54,10,-2,-12,fu_ve,20,4,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h54,10,-2,-12,fu_ve,52,6,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h54,10,-2,-12,fu_ve,25,4,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h54,10,-2,-12,fu_ve,37,6,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h54,10,-2,-12,fu_ve,75,1,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,14h54,10,-2,-12,fu_ve,28,1,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h00,11,NA,NA,fu_ve,36,2,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h01,12,NA,NA,-9999,-9999,-9999,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h01,13,NA,NA,fu_ve,33,3,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h02,14,NA,NA,fu_ve,51,8,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h02,14,NA,NA,fu_ve,79,2,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h04,15,-1,-26,fu_ve,78,9,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h06,16,NA,NA,-9999,-9999,-9999,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h06,17,NA,NA,fu_ve,38,7,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h08,18,NA,NA,-9999,-9999,-9999,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h08,19,NA,NA,-9999,-9999,-9999,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h09,20,-1,-38,-9999,-9999,-9999,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h10,21,NA,NA,fu_se,35,7,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h12,22,NA,NA,-9999,-9999,-9999,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h12,23,NA,NA,-9999,-9999,-9999,BB,
2021_06_23,laho_a,5,"""031""",GPS1,,,15h13,24,0,-50,fu_se,81,35,BB,
